workerid,proliferate.condition,Browser,OS,screenH,screenW,error
116,condition1,Chrome,Mac,800,1280,
20,condition1,Chrome,Mac,900,1440,
47,condition1,Chrome,Windows,1080,1920,
45,condition1,Firefox,Windows,900,1600,
42,condition1,Chrome,Windows,864,1536,
37,condition1,Chrome,Windows,1080,1920,
17,condition1,Firefox,Windows,768,1366,
11,condition1,Chrome,Mac,800,1280,
19,condition1,Firefox,Windows,864,1536,
28,condition1,Chrome,Windows,1080,1920,
26,condition1,Chrome,Windows,720,1280,
41,condition1,Chrome,Mac,800,1280,
22,condition1,Chrome,Windows,768,1360,
29,condition1,Firefox,Windows,1080,1920,
35,condition1,Firefox,Windows,768,1360,
1,condition1,Safari,Mac,1112,834,
18,condition1,Firefox,Windows,1080,1920,
15,condition1,Chrome,Mac,800,1280,
25,condition1,Chrome,Linux,869,412,
30,condition1,Firefox,Windows,864,1536,
36,condition1,Chrome,Windows,768,1366,
7,condition1,Safari,iPhone/iPod,667,375,
34,condition1,Safari,iPhone/iPod,896,414,
6,condition1,Chrome,Mac,800,1280,
40,condition1,Chrome,Linux,698,1241,
46,condition1,Chrome,Windows,1080,1920,
8,condition1,Safari,Mac,1080,1920,
105,condition1,Chrome,Windows,768,1366,
31,condition1,Chrome,Mac,900,1440,
33,condition1,Chrome,Linux,760,360,
